City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
477,477,quesnel,CA,52.9999,-122.5029,55.9,88,40,4.61,scattered clouds
478,478,khandyga,RU,62.6667,135.6,64.81,81,40,2.21,scattered clouds
479,479,kingisepp,RU,59.3733,28.6134,60.87,82,100,3.8,light rain
480,480,lompoc,US,34.6391,-120.4579,61.92,83,100,4.61,overcast clouds
483,483,sobolevo,RU,54.4299,31.8996,63.39,86,52,10.22,light rain
488,488,krasnoselkup,RU,65.7,82.4667,57.42,60,100,6.08,overcast clouds
489,489,chegdomyn,RU,51.1167,133.0167,61.81,96,20,2.44,few clouds
494,494,camana,PE,-16.6228,-72.7111,62.87,67,35,9.93,scattered clouds
508,508,yakeshi,CN,49.2833,120.7333,60.75,96,100,4.68,overcast clouds
510,510,novyy urgal,RU,51.0736,132.5642,61.79,96,6,2.04,clear sky
512,512,camaqua,BR,-30.8511,-51.8122,57.51,98,98,6.78,light rain
519,519,belyy yar,RU,53.6039,91.3903,56.86,70,0,0.0,light rain
526,526,rorvik,NO,64.8621,11.2373,51.78,83,100,23.35,overcast clouds
545,545,choma,ZM,-16.8065,26.9531,59.16,47,63,5.5,broken clouds
551,551,flinders,AU,-34.5833,150.8552,50.18,70,21,7.0,few clouds
554,554,vestmanna,FO,62.1564,-7.1664,52.72,82,75,12.66,broken clouds
562,562,verkh-suetka,RU,53.3,80.05,60.8,53,97,5.26,overcast clouds
573,573,bay-khaak,RU,51.1667,94.5,51.69,84,100,2.86,overcast clouds
575,575,roald,NO,62.5833,6.1333,57.16,67,40,12.66,scattered clouds
590,590,saldanha,ZA,-33.0117,17.9442,59.05,86,6,8.63,clear sky
592,592,kenai,US,60.5544,-151.2583,55.02,95,100,0.0,overcast clouds
605,605,dalvik,IS,65.9702,-18.5286,53.53,84,100,4.99,overcast clouds
608,608,vardo,NO,70.3705,31.1107,53.58,94,40,4.61,light intensity drizzle
613,613,karakol,KG,42.4907,78.3936,56.71,63,77,3.76,broken clouds
617,617,smithers,CA,54.7804,-127.1743,50.32,93,100,3.44,light rain
622,622,vagur,FO,61.4732,-6.8119,50.56,88,41,15.12,scattered clouds
623,623,ketchikan,US,55.3422,-131.6461,54.07,94,100,11.5,moderate rain
631,631,svetlaya,RU,46.5389,138.3297,58.75,97,100,11.86,overcast clouds
644,644,yerofey pavlovich,RU,53.9667,121.9667,61.57,92,100,3.31,overcast clouds
649,649,tupik,RU,54.4253,119.9327,60.71,95,100,3.11,overcast clouds
653,653,amparafaravola,MG,-17.5833,48.2167,58.59,90,70,5.73,broken clouds
654,654,tolaga bay,NZ,-38.3667,178.3,53.19,94,100,10.69,overcast clouds
657,657,charlestown,AU,-32.95,151.6667,52.74,79,52,5.99,broken clouds
678,678,high level,CA,58.5169,-117.136,60.91,63,0,5.75,clear sky
679,679,batagay,RU,67.6333,134.6333,58.64,73,44,2.91,scattered clouds
